id,value,count
TEST_00000,"[[20, 5000]]",1
TEST_00001,"[[0, 4980]]",1
TEST_00002,"[[0, 4980]]",1
TEST_00003,"[[940, 2850]]",1
TEST_00004,"[[0, 4990]]",1
TEST_00005,"[[260, 3200]]",1
TEST_00006,[],0
TEST_00007,"[[1030, 1940], [3200, 4430]]",2
TEST_00008,"[[0, 3050]]",1
TEST_00009,"[[0, 4980]]",1
TEST_00010,"[[0, 4980]]",1
TEST_00011,"[[620, 1170], [1830, 2490]]",2
TEST_00012,"[[0, 4990]]",1
TEST_00013,"[[690, 3060]]",1
TEST_00014,"[[0, 4980]]",1
TEST_00015,"[[0, 860], [2030, 2740]]",2
TEST_00016,"[[2050, 3900]]",1
TEST_00017,"[[660, 2780]]",1
TEST_00018,[],0
TEST_00019,"[[0, 4980]]",1
TEST_00020,"[[0, 4980]]",1
TEST_00021,"[[100, 700], [1210, 2200]]",2
TEST_00022,"[[1590, 5000]]",1
TEST_00023,"[[0, 4990]]",1
TEST_00024,"[[0, 4980]]",1
TEST_00025,"[[650, 4990]]",1
TEST_00026,"[[940, 1750], [2080, 4980]]",2
TEST_00027,"[[2810, 3430]]",1
TEST_00028,"[[340, 5000]]",1
TEST_00029,"[[0, 4990]]",1
TEST_00030,"[[0, 2060], [3390, 4360]]",2
TEST_00031,"[[0, 1140], [1420, 4980]]",2
TEST_00032,[],0
TEST_00033,"[[0, 1250], [2280, 4980]]",2
TEST_00034,"[[0, 4980]]",1
TEST_00035,"[[420, 4980]]",1
TEST_00036,"[[0, 4980]]",1
TEST_00037,"[[370, 4330]]",1
TEST_00038,"[[1540, 5000]]",1
TEST_00039,"[[0, 4990]]",1
TEST_00040,[],0
TEST_00041,"[[50, 670], [1390, 2560], [3760, 4980]]",3
TEST_00042,[],0
TEST_00043,"[[1050, 2730]]",1
TEST_00044,"[[470, 4150]]",1
TEST_00045,"[[0, 4990]]",1
TEST_00046,"[[0, 5000]]",1
TEST_00047,"[[0, 5000]]",1
TEST_00048,"[[0, 4980]]",1
TEST_00049,"[[200, 4440]]",1
TEST_00050,"[[0, 4980]]",1
TEST_00051,"[[0, 5000]]",1
TEST_00052,"[[0, 4980]]",1
TEST_00053,"[[0, 4990]]",1
TEST_00054,"[[0, 4980]]",1
TEST_00055,"[[0, 4990]]",1
